lap_time_sec,session_code,compound_key,tyre_life,lap_number_norm,stint,track_status_code,is_fresh_tyre,position,ambient_temp_c,wind_kph,fuel_load_kg,traffic_penalty_sec,track_length_km,track_corners,track_drs_zones,track_lap_count,fuel_sensitivity,fuel_burn_per_lap,tyre_stress,overtaking_risk,dirty_air_penalty,track_evolution,braking_harvest,traction_demand,high_speed_bias,straightline_demand,nominal_temp_c,team_one_lap_delta,team_race_pace_delta,team_tyre_management,team_energy_efficiency,team_drag_efficiency,team_traction,team_high_speed,team_dirty_air_resilience,team_reliability,team_development_trend
76.445,Q,soft,2.0,0.13793103448275862,3.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.39,0.4,0.69,0.7,0.74,0.71,0.73,0.69,0.78,0.05
76.175,Q,soft,2.0,0.1896551724137931,4.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.39,0.4,0.69,0.7,0.74,0.71,0.73,0.69,0.78,0.05
76.546,Q,soft,2.0,0.034482758620689655,1.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.288,Q,soft,2.0,0.08620689655172414,2.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.453,Q,soft,2.0,0.20689655172413793,5.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.95,Q,soft,2.0,0.034482758620689655,1.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.659,Q,soft,2.0,0.08620689655172414,2.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.369,Q,soft,2.0,0.13793103448275862,3.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
77.07,Q,soft,5.0,0.1896551724137931,4.0,1.0,0.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
76.483,Q,soft,2.0,0.2413793103448276,5.0,1.0,1.0,10.0,25.0,8.0,6.03344,0.0,5.278,14.0,4.0,58.0,0.031,1.62,0.59,0.55,0.26,0.78,0.64,0.69,0.56,0.62,25.0,0.95,1.02,0.58,0.61,0.63,0.59,0.61,0.58,0.66,-0.03
